scenario_id,agent_id,object_type,horizon_s,cv_ade,cv_fde,kf_ade,kf_fde,kf_uncertainty_final
4f7aa8ac2ff60093,3579,pedestrian,1.0,0.05664713763646946,0.07232499483814665,0.08678481630244664,0.11072416149692332,1.8700615455065852
4f7aa8ac2ff60093,3588,pedestrian,1.0,0.028748265680240487,0.030154778931316312,0.020953538823795963,0.020804790597052845,1.869754361654589
4f7aa8ac2ff60093,3590,pedestrian,1.0,0.026376471077141694,0.03964876825204579,0.05611519025895578,0.08042821653940392,1.869754361654589
4f7aa8ac2ff60093,3594,pedestrian,1.0,0.02385996915692727,0.03983814216212842,0.052705227772468013,0.0958395868976617,1.8697543616545909
4f7aa8ac2ff60093,3600,pedestrian,1.0,0.059830571743743885,0.06300315641259518,0.08385977719608723,0.0884266252641321,1.8697543616545909
4f7aa8ac2ff60093,3613,pedestrian,1.0,0.10326312782155704,0.18463751142390983,0.064578831772295,0.0882779469205891,1.8697104722235829
4f7aa8ac2ff60093,3617,pedestrian,1.0,0.11646590093910662,0.2675842812532578,0.20966784076410763,0.40870686930281275,1.8697543616545909
4f7aa8ac2ff60093,3618,pedestrian,1.0,0.03247506456411725,0.0944994960988832,0.13507015793831847,0.19009484694247905,1.8697543616545909
50ddee410ccb016d,303,pedestrian,1.0,0.09655682791945092,0.19321968482809318,0.09275051039346285,0.17801435537699584,1.8697543616545909
50ddee410ccb016d,304,pedestrian,1.0,0.04981977551735207,0.0685930722993725,0.3455585523603434,0.5209400509113999,1.8697543616545909
50ddee410ccb016d,308,pedestrian,1.0,0.014363904519956805,0.03421056040533088,0.015962734649168066,0.03691768148264165,1.8697543616545909
57e7012e0a98e3ec,4951,pedestrian,1.0,0.019181641765777344,0.038758798714805094,0.1611168506424058,0.2635495368915949,1.869754361654591
57e7012e0a98e3ec,4966,pedestrian,1.0,0.09877552455149975,0.19120893637153447,0.08457722336156334,0.15133208003083126,1.8689202032617387
57e7012e0a98e3ec,4978,pedestrian,1.0,0.04821085820348729,0.0930334873460768,0.1938566624032578,0.3054944399756812,1.8689641200358496
57e7012e0a98e3ec,4993,pedestrian,1.0,0.03282926715810762,0.05570258143301079,0.14225184659653076,0.22911725864558571,1.8672941972906294
57e7012e0a98e3ec,5686,cyclist,1.0,0.0912634668977825,0.21615554353074035,0.06945065829621498,0.1504079124101243,1.8697543616545909
57e7012e0a98e3ec,5690,cyclist,1.0,0.19325845624159932,0.29323945182822464,0.14115919170285246,0.20708323297789322,1.8689202032617387
5d6f6adb8f60a8e,4275,pedestrian,1.0,0.042267944874325565,0.07239736575723214,0.1204136184757624,0.22204950813989927,1.8697543616545909
5d6f6adb8f60a8e,4292,pedestrian,1.0,0.04267921181263959,0.06554102281551004,0.10096496348155323,0.16627302983580608,1.8697104722235813
5d6f6adb8f60a8e,4294,pedestrian,1.0,0.0246059774778261,0.04415742716073354,0.12843336640487357,0.193030587037673,1.8697104722235813
5d6f6adb8f60a8e,4308,pedestrian,1.0,0.05537718585288045,0.11816803482095671,0.11562964715669108,0.1894046027345156,1.869929904308262
5d6f6adb8f60a8e,4313,pedestrian,1.0,0.032276199164496,0.06343271533978337,0.12076884163654003,0.309821551745371,1.8698860209031154
5d6f6adb8f60a8e,4318,pedestrian,1.0,0.28272613741412755,0.5528531762099871,0.28953775733845044,0.5599810493985927,1.8700615455065852
66d2f8859f26c401,1629,pedestrian,1.0,0.014532023138848665,0.0172563911089686,0.011838419525095562,0.01307666399190286,1.869754361654591
66d2f8859f26c401,1630,pedestrian,1.0,0.012203174746409407,0.019135298631592156,0.016383714468716677,0.026672771723954193,1.869754361654591
66d2f8859f26c401,1631,pedestrian,1.0,0.016689133273212794,0.01858034738306844,0.022251317825311385,0.02005939498089479,1.8697543616545909
66d2f8859f26c401,1632,pedestrian,1.0,0.011859247887746473,0.021304824840634458,0.010798867080736905,0.017136901412605526,1.869754361654591
