scenario_id,agent_id,object_type,predictor,ade,fde,beam_timing_error_s,proactive_gain_s,final_uncertainty
4f4bbc55ef30c3ea,1467,pedestrian,KF,0.3415394118200844,0.5937834569463032,,0.0,9.01186455959754
4f4bbc55ef30c3ea,1468,pedestrian,CV,0.14456425811669715,0.29081098757841595,,0.0,2.0
4f7aa8ac2ff60093,3478,pedestrian,CV,0.31398011224033,0.5980816090928573,,0.0,2.0
4f7aa8ac2ff60093,3482,pedestrian,KF,0.26016394383295827,0.6561613379003312,,0.0,9.013848328017087
4f7aa8ac2ff60093,3491,pedestrian,CV,0.6305374957559728,1.4651856871017555,,0.0,2.0
4f7aa8ac2ff60093,3527,pedestrian,CV,0.7048162626331279,1.441775598908559,,0.0,2.0
4f7aa8ac2ff60093,3534,pedestrian,KF,1.6726798069530435,3.3512474146337405,,0.0,9.013848328017087
4f7aa8ac2ff60093,3541,pedestrian,CV,0.7796061662201191,0.93993936643376,,0.0,2.0
4f7aa8ac2ff60093,3545,pedestrian,KF,0.48770737899638716,0.5725478082610977,,0.0,9.013848328017087
4f7aa8ac2ff60093,3548,pedestrian,CV,0.3129150064503195,0.9091466425569203,,0.0,2.0
4f7aa8ac2ff60093,3557,pedestrian,KF,0.38932777809856667,0.720976232491197,0.0,0.0,9.013848328017085
4f7aa8ac2ff60093,3569,pedestrian,KF,0.24507618324032127,0.3890650227914307,,0.0,9.013848328017085
4f7aa8ac2ff60093,3579,pedestrian,CV,0.22236344807782235,0.5644172885702723,0.0,0.0,2.0
4f7aa8ac2ff60093,3590,pedestrian,CV,0.356105995771836,0.9276647469694581,,0.0,2.0
50ddee410ccb016d,303,pedestrian,KF,0.42677734615476476,0.8304577573165653,,0.0,9.010376766856464
50ddee410ccb016d,308,pedestrian,KF,0.08544430532752162,0.17107308949816755,0.1,0.1,9.010376766856464
57e7012e0a98e3ec,4951,pedestrian,CV,0.09574783831251173,0.4917221541720147,,0.0,2.0
57e7012e0a98e3ec,4966,pedestrian,KF,0.7756938897018064,1.836689305457337,,0.0,9.000954741371752
5d6f6adb8f60a8e,4292,pedestrian,CV,0.13930055500612742,0.32922781597260903,,0.0,2.0
5d6f6adb8f60a8e,4294,pedestrian,CV,0.14116069159039055,0.21974225282263518,,0.0,2.0
66d2f8859f26c401,1629,pedestrian,KF,0.02225120668662834,0.045288799638238814,,0.0,9.010376766856469
66d2f8859f26c401,1630,pedestrian,KF,0.04043364736445779,0.06932951017910939,,0.0,9.010376766856469
66d2f8859f26c401,1631,pedestrian,KF,0.03714584045216874,0.03898142221718652,,0.0,9.01037676685647
66d2f8859f26c401,1632,pedestrian,KF,0.02851687560601365,0.06604683546663134,,0.0,9.010376766856469
66d2f8859f26c401,1634,pedestrian,CV,0.6671277293346516,2.086440930137354,,0.0,2.0
66d2f8859f26c401,1665,pedestrian,KF,0.04640501360886873,0.07316701516635518,,0.0,9.010376766856469
66d2f8859f26c401,1679,pedestrian,CV,2.0931278516535583,4.934097284469119,,0.0,2.0
675906df18cc419a,1594,pedestrian,CV,0.4644819288543811,0.9751068461773751,,0.0,2.0
6ea1530b289aec91,1276,pedestrian,CV,0.1245917443235478,0.2873578094367841,,0.0,2.0
6ea1530b289aec91,1277,pedestrian,CV,0.4994188382258365,1.1643381932396413,,0.0,2.0
722e894fd915b4eb,1025,pedestrian,KF,0.25236550211202635,0.5132808728657652,,0.0,9.01186455959754
734c57bbbf191450,2186,pedestrian,CV,0.19748405559009286,0.4745279626711796,,0.0,2.0
750f17fb3ac9783d,2355,pedestrian,CV,0.24818683427974236,0.519573564020125,,0.0,2.0
750f17fb3ac9783d,2385,cyclist,KF,3.644796498232614,7.622489863625064,,0.0,9.01186455959754
7a877066976dde0,1826,pedestrian,KF,1.3724823731701665,3.6324384033115846,,0.0,9.01037676685647
7d040037cd4d968e,2632,pedestrian,KF,0.2915944992792254,0.5499492019230089,,0.0,9.01186455959754
7d1d2b26dd1e62e4,1512,pedestrian,KF,0.5751844251718652,1.0592157509452897,,0.0,9.010376766856469
7efb8ffc5f5cb1b4,1217,pedestrian,KF,0.02137112607786505,0.07634991465060818,,0.0,9.01037676685647
